Date,Close,Adj Close,Volume,High,Low,SMA,MACD,upper_band,middle_band,lower_band,supertrend_signal,RSI,aroon_up,aroon_down,kicking,upper_band_supertrend,lower_band_supertrend
2012-12-04,20.566071,17.611433,557068400,20.77857,20.433214,20.265178428571428,0.21970788019377357,21.61431625975234,20.09882135,18.583326440247664,0,47.22928587595064,4.0,52.0,0.0,0.0,0.0
2012-12-05,19.2425,16.478014,1044638000,20.330357,19.241785,20.270050857142856,0.10032926848847418,21.541895540550506,20.0201428,18.49839005944949,0,35.34496859989183,8.0,48.0,0.0,0.0,0.0
2012-12-06,19.544287,16.736443,1177212400,19.76107,18.522499,20.325204071428573,0.04285294172046128,21.5364627762408,20.00092855,18.465394323759202,0,39.10737352112837,4.0,44.0,0.0,0.0,0.0
2012-12-07,19.044643,16.308586,787040800,19.828571,18.928572,20.339413214285717,-0.02405435272459061,21.54657127955125,19.992892849999997,18.439214420448742,0,35.431216121939855,64.0,40.0,0.0,0.0,0.0
2012-12-10,18.922144,16.203682,630484400,19.2325,18.627857,20.247806142857144,-0.06924206651146686,21.573943026772497,19.9621072,18.3502713732275,0,34.57313034713958,60.0,36.0,0.0,0.0,0.0
2012-12-11,19.335358,16.557533,592345600,19.627144,19.191786,20.19801035714286,-0.064101784481573,21.57519427238263,19.959535799999998,18.343877327617363,0,39.86376805416818,56.00000000000001,32.0,0.0,0.0,0.0
2012-12-12,19.25,16.484436,487144000,19.571428,19.1525,20.140102142857142,-0.0593579511185659,21.57916595987626,19.952571499999998,18.325977040123735,0,39.159332849792435,52.0,28.000000000000004,0.0,0.0,0.0
2012-12-13,18.9175,16.199701,625259600,19.201429,18.77857,20.033444071428573,-0.07074801997691677,21.594506832547463,19.9397322,18.28495756745254,0,36.45678626356218,48.0,24.0,0.0,0.0,0.0
2012-12-14,18.206785,15.591091,1009579200,18.504642,18.056429,19.83002557142857,-0.11562896862365807,21.661621663991646,19.91146435,18.161307036008353,0,31.45906301252775,44.0,100.0,0.0,0.0,0.0
2012-12-17,18.529642,15.867565,757607200,18.571428,17.901072,19.661785714285717,-0.11292492616910388,21.689197392764324,19.8956607,18.102124007235677,0,35.76683355057537,40.0,96.0,0.0,0.0,0.0
2012-12-18,19.067858,16.328459,625685200,19.103571,18.580357,19.536683714285715,-0.06653619652920795,21.661404374481776,19.83882145,18.016238525518226,0,42.27956540532078,36.0,92.0,0.0,0.0,0.0
2012-12-19,18.796785,16.096336,449369200,19.060715,18.767857,19.37584185714286,-0.04669380901858755,21.652190255544944,19.77703575,17.901881244455055,0,40.07563142447152,32.0,88.0,0.0,0.0,0.0
2012-12-20,18.633215,15.95626,481689600,18.935715,18.531429,19.21372457142857,-0.037563310258456495,21.639929928634533,19.70566075,17.771391571365466,0,38.76257683656354,28.000000000000004,84.0,0.0,0.0,0.0
2012-12-21,18.547501,15.882862,596268400,18.559643,18.222857,19.0431635,-0.030571249259251032,21.581136412010853,19.61250015,17.643863887989145,0,38.05887108267296,24.0,80.0,0.0,0.0,0.0
2012-12-24,18.577499,15.908551,175753200,18.723213,18.525356,18.901122642857143,-0.017831907434928462,21.389289094817837,19.4886429,17.58799670518216,0,38.47981218695313,20.0,76.0,0.0,0.0,0.0
2012-12-26,18.321428,15.689268,302436400,18.552143,18.254286,18.835331785714285,-0.020373711428536168,21.212288384057665,19.3604643,17.508640215942336,0,36.21720123037251,16.0,72.0,0.0,0.0,0.0
2012-12-27,18.395,15.752266,455120400,18.4375,18.023571,18.753239857142855,-0.011276714046982272,21.00879031449831,19.239250000000002,17.469709685501694,0,37.35689214477447,12.0,68.0,0.0,0.0,0.0
2012-12-28,18.199642,15.584981,354278400,18.374287,18.147142,18.692882642857143,-0.012498403497474664,20.712828742467295,19.096803549999997,17.4807783575327,0,35.540894862716954,8.0,100.0,0.0,0.0,0.0
2012-12-31,19.006071,16.275549,659492400,19.121429,18.178572,18.69887742857143,0.04383658940427593,20.389350323760848,19.00196425,17.614578176239153,0,46.99542831825806,4.0,96.0,0.0,0.0,0.0
2013-01-02,19.608213,16.791187,560518000,19.821428,19.343929,18.71836707142857,0.12015679078630559,20.046072682457535,18.9356071,17.825141517542463,0,53.622450144747546,12.0,92.0,0.0,0.0,0.0
2013-01-03,19.360714,16.579247,352965200,19.631071,19.321428,18.726275214285714,0.15050653726121804,19.725671905078677,18.875339250000003,18.02500659492133,0,50.81043781979591,8.0,88.0,0.0,0.0,0.0
2013-01-04,18.821428,16.117437,594333600,19.236786,18.779642,18.719412928571426,0.13148770982014024,19.687899762949456,18.85428565,18.020671537050546,0,45.243034632667715,4.0,84.0,0.0,0.0,0.0
2013-01-07,18.710714,16.022631,484156400,18.90357,18.4,18.75540785714286,0.10957339176807035,19.58517818829374,18.812607,18.04003581170626,0,44.17293534425383,8.0,80.0,0.0,0.0,0.0
2013-01-08,18.76107,16.065744,458707200,18.996071,18.616072,18.771938428571428,0.09702239224684545,19.563820521329777,18.798428350000002,18.033036178670226,0,44.81229910466818,4.0,76.0,0.0,0.0,0.0
2013-01-09,18.467857,15.814659,407604400,18.750357,18.428213,18.729081214285713,0.06885117891985987,19.55195866518386,18.775714,17.99946933481614,0,41.809702557945364,4.0,72.0,0.0,0.0,0.0
2013-01-10,18.696787,16.010704,601146000,18.882856,18.411428,18.7219385,0.06553132042139898,19.476645371079464,18.74378545,18.010925528920538,0,44.91320052795566,76.0,68.0,0.0,0.0,0.0
2013-01-11,18.582144,15.912525,350506800,18.761429,18.536428,18.71829057142857,0.055886456801320095,19.407958636199524,18.71039265,18.012826663800475,0,43.65749102963145,72.0,64.0,0.0,0.0,0.0
2013-01-14,17.919643,15.345204,734207600,18.125,17.803928,18.67344357142857,0.007692407991529149,19.430642273889248,18.6604998,17.890357326110752,0,37.18709189532244,68.0,100.0,0.0,0.0,0.0
2013-01-15,17.354286,14.861069,876772400,17.821072,17.263571,18.586071214285713,-0.055955141017774546,19.559107743046415,18.61787485,17.676641956953585,0,32.72920836152254,64.0,100.0,0.0,0.0,0.0
2013-01-16,18.074642,15.477939,690804800,18.194286,17.589287,18.568443642857144,-0.04377340179148792,19.565337449203145,18.59512485,17.624912250796857,0,42.23165640157006,60.0,96.0,0.0,0.0,0.0
2013-01-17,17.952856,15.373647,453678400,18.241072,17.929644,18.53686192857143,-0.03834568726178206,19.522577029272565,18.53937475,17.556172470727436,0,41.17275917898139,56.00000000000001,92.0,0.0,0.0,0.0
2013-01-18,17.857143,15.291683,472922800,17.936428,17.728571,18.512397714285715,-0.035684478802691044,19.511065058513022,18.49239265,17.473720241486976,0,40.31717251562041,52.0,88.0,0.0,0.0,0.0
2013-01-22,18.0275,15.437569,461546400,18.138571,17.736786,18.442499785714286,-0.017835469740013377,19.49810082739841,18.462106900000002,17.426112972601594,0,42.603372144447775,48.0,84.0,0.0,0.0,0.0
2013-01-23,18.3575,15.720158,861509600,18.3925,18.0275,18.353163142857145,0.018825977903373203,19.488778893653432,18.452606850000002,17.416434806346572,0,46.850565636557974,44.0,80.0,0.0,0.0,0.0
2013-01-24,16.089287,13.777808,1460852400,16.633215,16.080357,18.119489785714286,-0.10049794804641776,19.786166430536614,18.328196249999998,16.87022606946338,0,30.270411273918427,40.0,100.0,0.0,0.0,0.0
2013-01-25,15.71,13.453011,1208026400,16.293928,15.535714,17.89724492857143,-0.19055942725713682,20.049235674175357,18.19762485,16.346014025824644,0,28.45686127496535,36.0,100.0,0.0,0.0,0.0
